,movie name,actors,rating,year,director
178,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,1953,Yasujirô Ozu
179,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.09,1978,Michael Cimino
180,Salinui chueok,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.09,2003,Bong Joon Ho
181,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.09,2014,Damián Szifron
182,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.09,2019,Sergio Pablos
183,Eskiya,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.09,1996,Yavuz Turgul
184,Andhadhun,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.09,2018,Sriram Raghavan
185,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.09,2009,Adam Elliot
186,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.09,1998,Joel Coen
187,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.08,1993,Jim Sheridan
188,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.08,2014,David Fincher
189,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.08,2016,Mel Gibson
190,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.08,2014,Wes Anderson
191,To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.08,1942,Ernst Lubitsch
192,Ford v. Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",8.08,2019,James Mangold
193,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.08,1966,Ingmar Bergman
194,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.07,1995,Richard Linklater
195,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.07,2002,Steven Spielberg
196,The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.07,1926,Clyde Bruckman
197,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.07,2010,Dean DeBlois
198,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",8.07,1939,Frank Capra
199,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.07,1924,Buster Keaton
200,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.07,2013,Denis Villeneuve
201,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.06,2013,Steve McQueen
202,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.06,1967,Stuart Rosenberg
203,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",8.06,2015,George Miller
204,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.06,1975,Stanley Kubrick
205,Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.06,1953,Henri-Georges Clouzot
206,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.06,1976,Sidney Lumet
207,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.06,1986,Rob Reiner
208,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.06,2007,Sean Penn
209,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.06,2004,Clint Eastwood
210,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.05,1979,Terry Jones
